405,Giorgos Papalios Productions
406,Havoc
407,Dreamland Productions
408,Avenue Entertainment
410,Sovkino
412,Wendy Finerman Productions
413,Proscenium Films
414,Fountainbridge Films
415,Laurence Mark Productions
416,Python (Monty) Pictures Limited
417,Australian Film Commission
418,New South Wales Film & Television Office
419,Embassy Pictures Corporation
420,Marvel Studios
421,Amen Ra Films
423,Phantom Four
424,Babelsberg Film GmbH
425,teamWorx
426,First National Bank of Chicago (London Branch)
427,PSO International
428,Talía Films
429,DC Comics
430,Lonely Film Productions GmbH & Co. KG.
431,Donners' Company
432,Branded Entertainment/Batfilm Productions
433,Weed Road Pictures
434,3 Art Entertainment
435,Di Bonaventura Pictures
436,1492 Pictures
437,Heyday films
438,Mercury
439,Prokino Filmproduktion
441,Columbia Pictures Corporation
443,Big Talk Productions
444,Dune Entertainment
445,Major Studio Partners
446,Thinkfilm
448,Key Films
449,Virtual Studios
450,Anarchos Productions
451,Medienboard Berlin-Brandenburg GmbH
452,Maurice McEndree Productions
453,Walter Reade Organization Inc.
454,Faces International Films
455,Permut Presentations
456,WCG Entertainment Productions
457,Constellation Films
458,Douglas/Reuther Productions
459,Les Films Pomereu
460,Horse Film
461,Les Films Christian Fechner
462,Patalex IV Productions Limited
463,Michael White Productions
464,National Film Trustee Company
465,Twickenham Film Studios
466,Avalon/NFU Studios
467,Renaissance Pictures
468,AAA Productions
469,Hemdale Film Corporation
470,Recorded Pictures Company
472,Soprofilms
473,TAO Film
474,Yanco
475,JD Productions
476,Underworld Entertainment
477,Hughes Entertainment
478,Cady
479,Discina
480,Tobis
481,La Nouvelle Edition Francaise
483,Praesens-Film AG
484,De Laurentiis Entertainment Group (DEG)
485,Vinyl Films
486,Portobello Pictures
487,Czech Television
489,Dutch Oven
490,New Regency Productions
491,Summit Entertainment
494,AVCO Embassy Pictures
495,EDI
496,David Foster Productions
497,Revolution Studios
498,Debra Hill Productions
499,De Laurentiis Entertainment Group
500,Goldcrest Films International
501,Indo-British
502,International Film Investors
503,National Film Development Corporation of India
504,Carolina Bank
505,Cruel Productions
506,Newmarket Capital Group
507,Atlas Entertainment
508,Regency Enterprises
509,Rhombus Ringfilm
510,Lunaris Film
511,Ultramar Films
512,Cocinor
513,Cosmo-Films
514,Silver Screen Partners
515,William Castle Enterprises
516,Seven Arts Productions
517,Allied Artists
518,Transworld Pictures
519,11:11 Mediaworks
520,Pacific Data Images (PDI)
521,DreamWorks Animation
523,Camelot Productions
524,Canal Plus Group
525,Ixtlan Productions
526,Roxlom Films
528,Bandai Visual Company
532,Morpheus
533,Janus Films
534,Filmsonor
536,The Coppola Company
537,Universal TV
538,EMI Films Ltd.
539,Block 2 Pictures
540,Jet Tone Production
541,Famous Players Ltd
542,Guardian Trust Company
543,Filmplan International II
544,De Laurentiis
545,Ten Thirteen Productions
546,Monsoon Pictures
547,Open City Films
549,Swanford Films
550,Little Bird Films
551,Mandalay Pictures
552,Dark Horse Entertainment
553,Barclays Mercantile Industrial Finance
554,Silver Screen Partners III
556,Sherwood
557,The Leonard Goldberg Company
558,Lisberger/Kushner
559,TriStar Pictures
560,Film Colony
561,Anhelo Productions
562,Appian Way
563,Movieworld Productions
564,Industrial Development Corporation of South Africa
565,UK Film & TV Production Company
566,National Film & Video Foundation of South Africa
567,Office Kitano
568,Saito Entertainment
569,Tokyo FM Broadcasting Company
570,Bandai Visual Company (JAPAN)
571,Highland Films
572,New Amsterdam Entertainment
573,Blixa Film Productktion
574,Lightstorm Entertainment
575,Bergen Film
576,Bard Entertainments
577,NPS Televisie
579,Alliance Communications
580,Leni Riefenstahl-Produktion
581,UGC
582,Hachette Première
584,Norma Productions
585,UFA Filmproduktion GmbH
587,Arte Deutschland TV GmbH
588,Mitteldeutscher Rundfunk (MDR)
590,Constellation Productions
591,France 3 Cinéma
592,Claudie Ossard Productions
594,Capella International
595,Eric's Boy
596,KC Medien AG
597,Irish Dreamtime
598,Team Todd
599,Solar Productions
600,Mehboob Productions
601,Blake Edwards Entertainment
602,DEFA
603,Prima Films
605,Rampart Productions
606,American Werewolf Inc.
607,Lyncanthrope Films
608,Dor Film Produktionsgesellschaft GmbH
609,Iduna Film Produktiongesellschaft
610,Kuchenreuther Filmproduktion GmbH
611,Bryna Productions
612,Artists Entertainment Complex
613,Hecht-Hill-Lancaster Productions
614,Vanguard Films
615,Nord Ouest Production
616,Eskwad
617,Brooksfilms Ltd.
618,Deutsche Filmvertriebs GmbH
619,Terra-Filmkunst GmbH
620,Centropolis Film Productions
622,Toho Film (Eiga) Co. Ltd.
623,MC Productions
624,Persky-Bright Productions
625,Devon
626,Independent Productions
627,Internacional Films Espagnol
628,Alpine Productions
629,Peppercorn-Wormser Inc
630,IPC Films
631,Parkway Pictures (I)
632,British Lion Films
634,ABC Pictures
635,Les Films Alain Sarde
636,Babbo Inc.
637,The Picture Factory
638,Laurel Group
639,DR TV
641,Titanus
642,S.G.C.
643,Société Nouvelle Pathé Cinéma
644,Alcor Films
645,"Imar Film Co., Ltd."
646,D'Antoni Productions
648,Sony Music Entertainment Japan
649,Sony
650,Bridge Films
651,Breathless Associates
652,Miko Productions
653,Komuna
654,South Pacific Pictures
655,Strike Entertainment
656,Metropolitan Filmexport
657,Toho-Towa
658,MI 3 Film
659,London Film Productions
660,British Lion Film Corporation
661,Nouvelles Éditions de Film
662,Turman-Foster Company
663,12 Gauge Productions
664,City Film
665,Hochschule für Fernsehen und Film (HFF)
667,IFMD Ltd.
668,T.H.E. Films
669,Reposado Producciones
670,Walt Disney Television
675,Forward Pass
676,Monarchy Enterprises B.V.
678,Turner Network Television
679,Timnick Films
680,Studio Hamburg Filmproduktion
681,Dom Film GmbH
682,Peninsula Films
684,Kim Ki-Duk Film
685,Cineclick Asia
686,Tiger Aspect Productions
688,Rankin/Bass Productions
689,Ventanarosa Productions
690,Handprint Entertainment
691,Cappa Productions
692,Sogecine
693,Alicia Produce S L
694,StudioCanal
695,Lee Daniels Entertainment
696,Rogue Marble
697,Alta Films S.A.
698,Scottish Screen
699,TTornasol Films S.A.
700,Kanzaman S.A.
701,Meespierson Film CV
702,3L Filmproduktion GmbH
703,Razor Film Produktion GmbH
704,Initial Entertainment Group
705,Spring Creek Productions
706,Sputnik Oy
707,Matador Pictures
708,Beijing Film Studio
711,Fox 2000 Pictures
713,Nu Image Entertainment
714,3L Filmverleih
716,Standard Film Company
718,Arts Council of England
719,Film Foundry Partners
720,Goldwyn Films
721,Zenith Productions
722,Temple Hill Productions
724,Beijing New Picture Film Co. Ltd.
725,Film 1
726,Haut et Court
727,TV Productions LTD And Beijing Hop Culture Co
728,Kalkaska Productions
729,Why Not Productions
730,Flying Moon Filmproduktion GmbH
732,Mate Producciones S.A.
734,Producers Circle
735,Waverly Films
736,Little Shark Entertainment GmbH
737,Sidney Kimmel Entertainment
738,Myriad Pictures
739,Anomaly Entertainment
740,MTM Cineteve
741,Emotion Pictures
742,Reverse Angle International
743,Europa Corp.
744,Diaphana Films
745,Les Films de la Pléiade
746,MTV Films
747,Inland Empire Productions
748,Mosaic Media Group
749,Christal Films
750,Ellepi Films
753,Nouvelles Éditions de Films (NEF)
754,Stella Films
755,Alexandra Films
756,filmkombinat Nordost GmbH & Co. KG
757,Embassy Film Associates
758,TV2 Danmark
760,Les Productions Bagheera
761,Cinehaus
762,Mutual Film Company
763,Intermedia Films
764,Polaris Film Productions & Finance
765,Tempête Sous Un Crâne Productions
766,Blue Tulip Productions
768,Ghost House Pictures
769,Destination Films
770,Kingsgate Films
771,Mandate Pictures
773,Film Afrika
774,Valkyrie Films
775,Korty Films
776,Phalanx-Jaelem
777,Future Film Group
778,Las Producciones del Escorpion
779,Lucky Red
780,Red Wagon Productions
783,kahuuna films
784,Himenóptero
785,Sociedad General de Cine S.A.
786,Bizibi
787,3 Arts Entertainment
788,Bel Air Entertainment
789,Pallas Film
790,Samsa Film
791,IPSO Facto Films
792,Radio Télévision Belge Francophone
793,Galatée Films
794,Agi Orsi Productions
795,Vans Off the Wall
796,Pan Européenne Production
798,Samuel Goldwyn Company
799,Carlyle Productions
800,Wheel Productions
802,Egg Pictures
803,Alliance Atlantis Communications
804,Natural Nylon Entertainment
805,Serendipity Point Films
806,Téléfilm Canada
807,The Harold Greenberg Fund
808,The Movie Network
809,Union Générale Cinématographique
810,Persistent Entertainment
812,Deuce Three Productions
813,DiNovi Pictures
814,Isabella Films BV
816,FilmEngine
817,Katalyst Films
818,Gimages 5
819,Mars Films
820,Tapson Steel Films Productions
821,The Greenlight Fund
822,Happinet Pictures
823,Telepool
824,Kopelson Entertainment
826,Capitol Films
827,VIP 3 Medienfonds
828,Ultra Films
829,Vertigo Entertainment
830,Senator International
831,Saturn Films
834,Potboiler Productions Ltd.
836,Elzévir Films
837,Oï  Oï  Oï Productions
838,Paramount Vantage
839,Lou Yi Inc.
840,Lawrence Gordon Productions
841,Pathé Entertainment
842,GreeneStreet/SKE Films
843,Werner Herzog Filmproduktion
844,Sofica Valor 6
845,Sogécinéma 2
846,2929 Productions
