"PATENT","GYEAR","GDATE","APPYEAR","COUNTRY","POSTATE","ASSIGNEE","ASSCODE","CLAIMS","NCLASS","CAT","SUBCAT","CMADE","CRECEIVE","RATIOCIT","GENERAL","ORIGINAL","FWDAPLAG","BCKGTLAG","SELFCTUB","SELFCTLB","SECDUPBD","SECDLWBD"
3827497,1974,5331,1973,"US","TX",551600,2,,166,6,64,,75,,0.6436,,5.44,,,,0,0
4991870,1991,11365,1989,"US","MI",576340,2,4,280,5,55,0,8,,0,,5,,,,0.2857,0.25
5008205,1991,11428,1988,"US","MA",250060,2,14,436,1,19,2,3,1,0.4444,0,7.6667,2,0,0,0,0
5376158,1994,12779,1992,"US","OH",225355,2,7,65,5,51,10,1,1,0,0.34,6,10.2,0.2222,0.2,1,1
4414071,1983,8712,1981,"GB","",296265,3,5,204,1,19,5,10,1,0.68,0.72,8.1,6.8,0,0,0,0
4390019,1983,8579,1979,"US","NY",,1,6,606,3,32,4,28,0.75,0.2577,0.4444,10.1429,19.5,,,,
5952012,1999,14501,1996,"US","MN",724813,3,,425,5,51,41,0,0.9024,,0.6779,,19.439,0.0714,0.0244,,
4465513,1984,8992,1983,"US","NY",595200,2,8,75,5,52,4,0,0.75,,0,,15,0.5,0.25,,
3597676,1971,4232,1969,"US","MD",248780,2,,374,4,43,,15,,0.7822,,12.5333,,,,0,0
4828576,1989,10721,1988,"US","PA",381140,2,19,44,1,19,12,6,1,0,0.4861,6.1667,5.25,0.3333,0.3333,0,0
3995770,1976,6185,1975,"US","IL",56925,2,20,222,1,19,6,15,1,0.6667,0.5,14.4,8.3333,0,0,0,0
5409068,1995,12898,1993,"US","KS",310665,2,14,172,6,64,16,3,0.75,0,0.2778,2.6667,23.6875,0.3333,0.0625,0,0
3482771,1969,3630,1968,"SE","",17830,3,,494,1,19,,14,,0.2449,,24.4286,,,,0.0714,0.0714
4513523,1985,9251,1982,"US","PA",602550,2,21,42,5,59,8,5,0.75,0,0.2778,4,18.125,0,0,0,0
4833172,1989,10735,1988,"US","OH",450155,2,30,521,1,15,88,31,0.9773,0.7784,0.8104,4.5484,11.2841,0,0,0.3,0.2903
5410275,1995,12898,1993,"US","IL",386735,2,13,330,4,41,10,2,1,0,0.76,2,5.7,0.3,0.3,0.5,0.5
3877211,1975,5583,1974,"SU","",,1,11,57,6,63,3,5,1,0,0,13.6,5.3333,,,,
4833705,1989,10735,1986,"JP","",87490,3,8,379,2,21,10,18,1,0.3457,0.42,6.5,4.8,0.2,0.2,0.7222,0.7222
4921514,1990,11078,1989,"US","PA",13570,2,11,62,6,69,13,5,1,0,0,6.4,4.2308,0.1538,0.1538,0.75,0.6
4932322,1990,11120,1989,"US","TX",132680,2,4,101,6,69,21,3,0.5238,0,0.1653,5,36.6667,0,0,0,0
4646286,1987,9916,1985,"CA","",408420,3,17,370,2,21,8,13,1,0.6864,0.375,5.9231,3.25,0,0,0.2308,0.2308
5037700,1991,11540,1981,"US","NJ",394095,2,28,428,6,69,12,15,0.8333,0.7822,0.58,13,18.3333,0,0,0.0667,0.0667
4856531,1989,10819,1987,"FI","",277100,3,5,600,3,32,2,10,1,0.58,0.5,5.3,6,0,0,0.3,0.3
5126618,1992,11869,1991,"JP","",77725,3,17,310,4,45,8,17,0.875,0.699,0.449,4.8235,7.25,0.4286,0.375,0,0
4963501,1990,11246,1989,"US","CA",480040,2,20,438,4,46,7,8,1,0.4688,0.2449,5.5,2.2857,0.4286,0.4286,0,0
4299700,1981,7984,1980,"US","IN",,1,7,210,1,19,5,18,0.6,0.5309,0.4444,9.6111,15.6,,,,
4744859,1988,10364,1986,"US","CA",612905,2,16,438,4,46,7,14,1,0.2551,0,5.1429,2.4286,0,0,0,0
5644548,1997,13696,1996,"JP","",252865,3,3,365,2,24,4,3,1,0,0.5,1,13.75,0.25,0.25,0,0
4181605,1980,7305,1978,"US","MO",,1,8,210,1,19,8,9,0.875,0,0.449,12.1111,10.5,,,,
6005981,1999,14599,1996,"US","CA",394010,2,,382,2,22,5,0,1,,0.56,,6.8,0.2,0.2,,
5195040,1993,12128,1990,"US","CA",597270,6,6,701,2,22,5,3,1,0.6667,0.56,2.6667,7,0,0,0,0
6000679,1999,14592,1997,"US","OH",219155,2,,251,5,53,22,0,1,,0.6901,,6.1364,0.0455,0.0455,,
4399352,1983,8628,1980,"JP","",358975,3,3,219,4,49,8,14,1,0.6939,0.4063,6.0714,3.875,0,0,0,0
4502968,1985,9195,1983,"JP","",559345,3,4,427,1,12,4,3,1,0.4444,0.375,7,10.5,0,0,0,0
4670668,1987,10014,1985,"US","CA",8075,2,17,327,4,41,9,23,1,0.6238,0.5185,5.3913,5.1111,0,0,0,0
5566315,1996,13437,1994,"US","CO",546805,2,20,711,2,24,8,10,1,0.58,0.5313,2.2,2.75,0,0,0,0
5545945,1996,13374,1995,"US","NJ",597185,6,9,313,4,42,11,1,1,0,0.6116,1,5.4545,0.5455,0.5455,1,1
5368732,1994,12751,1993,"ES","",138150,3,9,210,1,19,5,2,1,0.5,0.32,3.5,11.6,0.5,0.2,0,0
5514131,1996,13276,1994,"US","CA",,4,16,606,3,32,193,33,0.9326,0.5399,0.7427,2.1515,12.3575,,,,
3666652,1972,4533,1970,"CH","",447060,3,,204,1,19,,6,,0.7222,,15.6667,,,,0,0
4544723,1985,9405,1983,"US","NY",160890,2,9,524,1,15,10,6,1,0.6667,0.7,10.8333,8,0.375,0.3,0.1667,0.1667
5889617,1999,14333,1997,"JP","",401785,3,,359,5,54,4,0,1,,0,,15.5,0,0,,
3944396,1976,5919,1974,"US","PA",18895,2,5,428,6,69,8,7,0.375,0.2449,0.4444,12.2857,18.125,0,0,0.2857,0.2857
5475724,1995,13129,1994,"TW","",,1,4,377,4,49,4,1,1,0,0.5,0,6,,,,
4846694,1989,10784,1988,"US","PA",267230,2,15,434,6,69,5,47,1,0.7225,0.32,4.766,8.8,0,0,0,0
4396513,1983,8614,1981,"US","PA",62580,2,9,210,1,19,14,15,0.9286,0.4444,0.8284,10.6,9.9286,0,0,0.1429,0.1333
5535439,1996,13339,1994,"US","NY",,1,15,455,2,21,4,5,1,0.56,0.5,1.4,9,,,,
4285164,1981,7907,1979,"CA","",9195,3,3,47,6,61,17,5,0.5294,0.32,0.3704,9.6,24.9412,0,0,0,0
4929160,1990,11106,1988,"JP","",581270,3,9,418,5,53,4,7,1,0.449,0.375,6,4.25,0,0,0.1429,0.1429
4510484,1985,9230,1983,"US","OH",268230,2,9,340,2,21,7,22,1,0.5413,0.6939,9.9091,8.1429,0.1429,0.1429,0,0
4829176,1989,10721,1986,"US","TX",405365,2,14,250,4,44,2,5,1,0.64,0,4.4,3.5,1,1,0,0
4585618,1986,9615,1984,"CH","",171550,2,17,419,5,52,3,55,0.6667,0.8073,0.5,6.0545,21.6667,0,0,0.0556,0.0545
4274347,1981,7844,1980,"US","PA",570855,2,3,112,6,63,6,11,0.6667,0,0,6.0909,11.6667,0,0,0,0
5954109,1999,14508,1997,"US","TX",387775,2,,160,6,69,8,0,1,,0,,7.75,0.6,0.375,,
5115689,1992,11834,1991,"JP","",379245,3,2,74,5,59,6,0,1,,0.6111,,7.8333,0.6667,0.6667,,
5261583,1993,12373,1992,"US","FL",386735,2,12,224,6,68,5,12,1,0.7639,0.48,3.3333,7.6,0.25,0.2,0.6667,0.5
4901595,1990,11008,1987,"JP","",347835,3,21,74,5,59,7,4,1,0,0.6122,5.5,10.7143,0,0,0,0
4559040,1985,9482,1984,"US","CA",427835,2,1,604,3,32,5,38,0.8,0.6704,0.625,9.1842,15.4,0,0,0,0
5979949,1999,14557,1998,"US","GA",306870,2,,292,6,69,14,0,0.7857,,0.4959,,19.7857,0,0,,
4734568,1988,10315,1986,"JP","",580500,3,8,235,5,59,2,47,1,0.7415,0,6.0851,9,0,0,0.0217,0.0213
5767963,1998,14046,1996,"DE","",53430,3,17,356,4,43,7,1,1,0,0.7347,1,11.8571,0.1429,0.1429,0,0
3217014,1965,2139,,"US","IN",,2,,548,1,14,,5,,0.56,,,,,,,
3290157,1966,2531,,"US","MI",,1,,426,6,61,,6,,0.7222,,,,,,,
4884652,1989,10931,1985,"DE","",44580,3,6,180,5,55,10,18,0.9,0.5864,0.7901,6.8333,14.9,0,0,0.0588,0.0556
5202755,1993,12156,1991,"KR","",491065,3,7,348,4,49,6,3,1,0.4444,0.2778,4.6667,2.1667,0,0,0,0
5058996,1991,11617,1984,"JP","",508240,3,29,349,1,19,2,2,1,0,0,10.5,15.5,0,0,0,0
3941013,1976,5905,1974,"GB","",629990,3,15,475,5,53,5,14,1,0,0.32,13.7857,7.4,0,0,0,0
5353304,1994,12695,1994,"JP","",87490,3,70,375,2,21,9,6,1,0.7222,0.5185,1,9.2222,0.2222,0.2222,0.3333,0.3333
4066276,1978,6577,1976,"FR","",181725,3,10,280,5,55,2,3,1,0,0,2.3333,2.5,1,0.5,0.5,0.3333
5868256,1999,14284,1997,"US","SD",723664,2,,209,5,51,14,0,0.2857,,0.5,,53.3571,0,0,,
4772924,1988,10490,1987,"US","NJ",,1,20,257,4,46,3,13,1,0.4852,0,4.7692,9,,,,
5348574,1994,12681,1993,"US","MO",759416,2,8,106,1,12,22,3,1,0.4444,0.781,4,8.8636,0.15,0.1364,0,0
5326046,1994,12604,1992,"JP","",532110,3,4,242,5,51,2,0,1,,0,,17,0,0,,
5810764,1998,14144,1996,"US","OH",734641,2,51,604,3,32,79,3,0.9873,0.4444,0.4665,0,7.7215,0,0,0.3333,0.3333
3866599,1975,5527,1972,"US","WA",600100,2,1,600,3,32,6,91,1,0.7132,0.6111,16.9121,7.3333,0,0,0,0
5784968,1998,14088,1997,"US","IL",486920,2,7,105,5,55,7,0,0.4286,,0.4444,,35.4286,0,0,,
4338759,1982,8229,1980,"US","MI",597990,2,9,52,6,69,5,4,0.4,0,0,12.75,28,0,0,0,0
3417909,1968,3280,1967,"US","PA",,2,,206,6,68,,5,,0.48,,10.6,,,,,
4030471,1977,6381,1975,"US","CA",,1,19,123,5,53,6,1,0.3333,0,0,5,22.5,,,,
4605162,1986,9720,1985,"US","AL",,1,4,236,6,69,7,2,0.2857,0,0,9.5,38.4286,,,,
5079598,1992,11694,1989,"JP","",87490,3,13,399,5,54,6,9,1,0.1975,0,3.6667,6.3333,0.3333,0.3333,0.1111,0.1111
4209435,1980,7480,1978,"GB","",,1,11,524,1,15,3,7,1,0.4898,0,7.4286,5.3333,,,,
4034193,1977,6395,1975,"US","CT",606945,2,32,700,2,22,10,23,1,0.8393,0.58,9.5217,4.2,0,0,0.1429,0.1304
