Host Id;Neighbourhood Group
15733420;Brooklyn
15740819;Brooklyn
15688520;Manhattan
1475015;Manhattan
15908653;Brooklyn
7580038;Manhattan
3323488;Brooklyn
3323488;Brooklyn
6754169;Brooklyn
7351;Brooklyn
14325632;Brooklyn
14902860;Brooklyn
3772684;Brooklyn
1369577;Brooklyn
9209820;Brooklyn
16245414;Brooklyn
11837926;Manhattan
16245414;Brooklyn
5164854;Manhattan
6032480;Brooklyn
16437254;Brooklyn
16514175;Queens
13208084;Brooklyn
14289427;Manhattan
327673;Brooklyn
3716641;Manhattan
15740819;Brooklyn
2051075;Brooklyn
430188;Brooklyn
11674837;Queens
13611255;Brooklyn
16834792;Brooklyn
7245581;Manhattan
2119276;Manhattan
12556197;Brooklyn
16916853;Brooklyn
7503643;Brooklyn
7549;Manhattan
2377104;Brooklyn
15310997;Manhattan
10657357;Manhattan
10657357;Manhattan
10657357;Manhattan
10657357;Manhattan
16286162;Bronx
5851210;Manhattan
16286162;Bronx
17292935;Bronx
17299359;Brooklyn
17318747;Manhattan
5634395;Manhattan
17051201;Brooklyn
17477908;Manhattan
17477908;Manhattan
17051201;Brooklyn
17479416;Manhattan
17299359;Brooklyn
3250450;Queens
3250450;Queens
4847926;Brooklyn
1475015;Manhattan
14902860;Brooklyn
7665324;Manhattan
254846;Brooklyn
7157099;Brooklyn
319077;Brooklyn
2879920;Manhattan
7157099;Brooklyn
2120259;Brooklyn
7245581;Manhattan
7499240;Manhattan
3609048;Brooklyn
5164854;Manhattan
12485770;Manhattan
16834792;Brooklyn
18212433;Manhattan
18212433;Manhattan
18212433;Manhattan
18260299;Brooklyn
11674837;Queens
13347167;Manhattan
3038687;Manhattan
12306481;Queens
18212433;Manhattan
5652395;Bronx
3562322;Brooklyn
12306481;Queens
3325418;Manhattan
7245581;Manhattan
7503643;Brooklyn
16916853;Brooklyn
18397763;Brooklyn
2119276;Manhattan
2119276;Manhattan
1475015;Manhattan
1475015;Manhattan
16098958;Manhattan
13347167;Manhattan
16437254;Brooklyn
2120259;Brooklyn
17051201;Brooklyn
7474069;Manhattan
16098958;Manhattan
2267864;Manhattan
18836774;Manhattan
18836774;Manhattan
18836774;Manhattan
10972334;Brooklyn
2119276;Manhattan
3007815;Queens
7503643;Brooklyn
19107278;Brooklyn
19107278;Brooklyn
17770287;Manhattan
18836774;Manhattan
18836774;Manhattan
522065;Manhattan
1475015;Manhattan
9864136;Manhattan
17479416;Manhattan
19331457;Manhattan
7665324;Manhattan
19382874;Brooklyn
3716641;Manhattan
3716641;Manhattan
10193030;Manhattan
16437254;Brooklyn
17292935;Bronx
2119276;Manhattan
5810195;Manhattan
3250450;Queens
6642777;Brooklyn
7558452;Manhattan
10162529;Queens
7848968;Brooklyn
1475015;Manhattan
19597910;Queens
19597910;Queens
23633;Brooklyn
23633;Brooklyn
1475015;Manhattan
2119276;Manhattan
2119276;Manhattan
16098958;Manhattan
20169857;Brooklyn
3250450;Queens
15733420;Brooklyn
19708200;Brooklyn
19708200;Brooklyn
3339701;Queens
18397763;Brooklyn
3339701;Queens
18397763;Brooklyn
1482208;Brooklyn
1475015;Manhattan
14902860;Brooklyn
1475015;Manhattan
17770287;Manhattan
18260299;Brooklyn
16098958;Manhattan
14902860;Brooklyn
16098958;Manhattan
16098958;Manhattan
12556197;Brooklyn
16715941;Manhattan
18260299;Brooklyn
157795;Brooklyn
5072123;Brooklyn
20169857;Brooklyn
20243795;Brooklyn
10352213;Manhattan
12348871;Brooklyn
4934489;Manhattan
20278196;Brooklyn
1475015;Manhattan
16715941;Manhattan
7245581;Manhattan
13347167;Manhattan
20278196;Brooklyn
20438402;Manhattan
20438402;Manhattan
20438402;Manhattan
20484008;Manhattan
295128;Bronx
295128;Bronx
7580038;Manhattan
12485770;Manhattan
20543178;Brooklyn
20278196;Brooklyn
1475015;Manhattan
1401835;Brooklyn
1475015;Manhattan
2119276;Manhattan
11790239;Manhattan
3325418;Manhattan
3325418;Manhattan
7831209;Manhattan
17249397;Manhattan
9743617;Manhattan
16514175;Queens
13649613;Bronx
2155917;Brooklyn
1369577;Brooklyn
430188;Brooklyn
10135;Manhattan
3967335;Brooklyn
3967335;Brooklyn
21020951;Brooklyn
1960128;Queens
20484008;Manhattan
7831209;Manhattan
10384906;Brooklyn
19382874;Brooklyn
19331457;Manhattan
10135;Manhattan
310670;Bronx
21228368;Queens
310670;Bronx
4065620;Brooklyn
11948817;Brooklyn
1539749;Brooklyn
7714918;Brooklyn
4934489;Manhattan
21228368;Queens
17249397;Manhattan
20543178;Brooklyn
18397763;Brooklyn
18397763;Brooklyn
18397763;Brooklyn
9234456;Brooklyn
21020951;Brooklyn
15908653;Brooklyn
21228368;Queens
4375988;Brooklyn
7848968;Brooklyn
17477908;Manhattan
11948817;Brooklyn
17462748;Brooklyn
1401835;Brooklyn
5243122;Brooklyn
21641206;Brooklyn
6032480;Brooklyn
17462748;Brooklyn
17462748;Brooklyn
1475015;Manhattan
17462748;Brooklyn
1172202;Queens
7549;Manhattan
6841194;Brooklyn
21641206;Brooklyn
21902316;Brooklyn
11189753;Brooklyn
3609048;Brooklyn
3250450;Queens
3250450;Queens
17770287;Manhattan
295128;Bronx
20243795;Brooklyn
21641206;Brooklyn
6280254;Manhattan
19597910;Queens
1141935;Brooklyn
7503643;Brooklyn
1260921;Bronx
2822805;Brooklyn
3578009;Queens
13063145;Brooklyn
11790239;Manhattan
11790239;Manhattan
2119276;Manhattan
7503643;Brooklyn
22548091;Manhattan
22384027;Brooklyn
22548091;Manhattan
2814004;Manhattan
2814004;Manhattan
20243795;Brooklyn
21902316;Brooklyn
1475015;Manhattan
21228368;Queens
21228368;Queens
22384027;Brooklyn
16286162;Bronx
263500;Brooklyn
22904933;Manhattan
15310997;Manhattan
15310997;Manhattan
1447684;Brooklyn
21841949;Manhattan
21841949;Brooklyn
195137;Manhattan
3716641;Manhattan
7351;Brooklyn
2050338;Queens
21641206;Brooklyn
22904933;Manhattan
16286162;Bronx
10304755;Brooklyn
3740730;Manhattan
23249630;Brooklyn
23249630;Brooklyn
